"gene_id","entrezgene","ensembl_gene_id","chromosome_name","start_position","end_position"
"0610005C13RIK","","ENSMUSG00000085214","7","45567795","45575327"
"0610007P14RIK","58520","ENSMUSG00000021252","12","85815448","85824550"
"0610009B22RIK","66050","ENSMUSG00000007777","11","51685386","51688874"
"0610009L18RIK","","ENSMUSG00000043644","11","120348678","120351190"
"0610009O20RIK","66839","ENSMUSG00000024442","18","38250249","38262629"
"0610010F05RIK","71675","ENSMUSG00000042208","11","23564961","23633639"
"0610010K14RIK","104457","ENSMUSG00000020831","11","70235206","70237914"
"0610011F06RIK","68347","ENSMUSG00000025731","17","25875464","25886007"
"0610012G03RIK","","ENSMUSG00000096232","16","31948024","31948448"
"0610030E20RIK","68364","ENSMUSG00000058706;ENSMUSG00000108680","6;CHR_MG184_PATCH","72347316;72347317","72353147;72353148"
"0610031O16RIK","","ENSMUSG00000099146","3","138210716","138240405"
"0610037L13RIK","74098","ENSMUSG00000028608","4","107889813","107899384"
"0610038B21RIK","","ENSMUSG00000097882","8","77517056","77523898"
"0610039K10RIK","","ENSMUSG00000058812","2","163644850","163645801"
"0610040B10RIK","","ENSMUSG00000089889","5","143329247","143332704"
"0610040F04RIK","","ENSMUSG00000087341","6","108577039","108660934"
"0610040J01RIK","76261","ENSMUSG00000060512","5","63812363","63899625"
"0610043K17RIK","","ENSMUSG00000087361","4","101353783","101399181"
"1010001N08RIK","","ENSMUSG00000097222","18","11049087","11052567"
"1110001J03RIK","66117","ENSMUSG00000019689","6","38533502","38539449"
"1110002L01RIK","","ENSMUSG00000071456","12","3403878","3427011"
"1110004E09RIK","68001","ENSMUSG00000022972","16","90925809","90934927"
"1110004F10RIK","56372","ENSMUSG00000030663","7","116039397","116105210"
"1110006O24RIK","","ENSMUSG00000107121","5","115631049","115631816"
"1110007C09RIK","68480","ENSMUSG00000037960","13","49202951","49216026"
"1110008F13RIK","67388","ENSMUSG00000027637","2","156863128","156873563"
"1110008L16RIK","66132","ENSMUSG00000021023","12","55299577","55382533"
"1110008P14RIK","73737","ENSMUSG00000039195","2","32377097","32381938"
"1110012L19RIK","68618","ENSMUSG00000045237","X","70385877","70389417"
"1110015O18RIK","","ENSMUSG00000098659","3","4797558","4814911"
"1110017D15RIK","73721","ENSMUSG00000028441","4","41505009","41517333"
"1110019D14RIK","","ENSMUSG00000097616","6","13871526","14044385"
"1110020A21RIK","","ENSMUSG00000097047","17","84954967","84957710"
"1110025L11RIK","68637","ENSMUSG00000068073","16","89063412","89064002"
"1110028F11RIK","","ENSMUSG00000085972","11","87701396","87705331"
"1110028F18RIK","","ENSMUSG00000099139","8","106587143","106594820"
"1110032A03RIK","68721","ENSMUSG00000037971","9","50762828","50775520"
"1110032F04RIK","68725","ENSMUSG00000046999","3","68869586","68872163"
"1110034G24RIK","73747","ENSMUSG00000044991","2","132686931","132751055"
"1110036E04RIK","","ENSMUSG00000097036","9","64049829","64054100"
"1110037F02RIK","66185","ENSMUSG00000040720","4","11485958","11550684"
"1110038B12RIK","","ENSMUSG00000092203","17","34950238","34952471"
"1110038F14RIK","117171","ENSMUSG00000063236","15","76948539","76950729"
"1110046J04RIK","","ENSMUSG00000085457","13","33935567","33960181"
"1110051M20RIK","228356","ENSMUSG00000040591","2","91275068","91444704"
